tg,fa
Донишгоҳи Булунё,دانشگاه بولونیا
Донишгоҳи Бухарест,دانشگاه بخارست
Донишгоҳи Вашингтон,دانشگاه واشنگتن
Донишгоҳи Вена,دانشگاه وین
Донишгоҳи Вирҷиния,دانشگاه ویرجینیا
Донишгоҳи Воустер,دانشگاه ووستر
Донишгоҳи Гёттинген,دانشگاه گوتینگن
Донишгоҳи давлатии омӯзгории Тоҷикистон,دانشگاه دولتی آموزگاری تاجیکستان
Донишгоҳи Делавэр,دانشگاه دلاور
Донишгоҳи Дерби,دانشگاه داربی
Донишгоҳи Деҳлӣ,دانشگاه دهلی
Донишгоҳи Димишқ,دانشگاه دمشق
Донишгоҳи Дунди,دانشگاه داندی
Донишгоҳи Дурҳам,دانشگاه دورام
Донишгоҳи Ексетер,دانشگاه اکستر
Донишгоҳи Иллинойи Ғарбӣ,دانشگاه ایلینوی غربی
Донишгоҳи Инсбрук,دانشگاه اینسبروک
Донишгоҳи Иёлати Флорида,دانشگاه ایالتی فلوریدا
Донишгоҳи Йел,دانشگاه ییل
Донишгоҳи Калифорния,دانشگاه کالیفرنیا
Донишгоҳи Калифорния дар Лос-Анҷелес,دانشگاه کالیفرنیا، لس آنجلس
Донишгоҳи Калифорния дар Санта-Круз,دانشگاه کالیفرنیا، سانتا کروز
Донишгоҳи Калифорнияи Ҷанубӣ,دانشگاه کالیفرنیای جنوبی
Донишгоҳи Кембриҷ,دانشگاه کمبریج
Донишгоҳи Канзас,دانشگاه کانزاس
Донишгоҳи Кейптаун,دانشگاه کیپ‌تاون
Донишгоҳи Кобул,دانشگاه کابل
Донишгоҳи Ковентрий,دانشگاه کاونتری
Донишгоҳи Колумбия,دانشگاه کلمبیا
Донишгоҳи Корнелл,دانشگاه کرنل
Донишгоҳи Кранфиелд,دانشگاه کرانفیلد
Донишгоҳи Ланкастер,دانشگاه لنکستر
Донишгоҳи Лейден,دانشگاه لیدن
Донишгоҳи Ливерпоол,دانشگاه لیورپول
Донишгоҳи Лозанна,دانشگاه لوزان
Донишгоҳи Лондон,دانشگاه لندن
Донишгоҳи Манчестер,دانشگاه منچستر
Донишгоҳи Мармара,دانشگاه مرمره
Донишгоҳи Қоҳира,دانشگاه قاهره
Донишгоҳи Ноттингҳам,دانشگاه ناتینگهام
Донишгоҳи Нукастел,دانشگاه نیوکاسل
Донишгоҳи Ню-Йорк,دانشگاه نیویورک
Донишгоҳи Оксфорд,دانشگاه آکسفورد
Донишгоҳи Осиёи Марказӣ,دانشگاه آسیای مرکزی
Донишгоҳи Пенсилвания,دانشگاه پنسیلوانیا
Донишгоҳи Пизо,دانشگاه پیزا
Донишгоҳи Повиё,دانشگاه پاویا
Донишгоҳи Порис,دانشگاه پاریس
Донишгоҳи Претория,دانشگاه پرتوریا
Донишгоҳи Реддинг,دانشگاه ریدینگ
Донишгоҳи Салфорд,دانشگاه سالفورد
Донишгоҳи Соутҳамптон,دانشگاه ساوت‌همپتون
Донишгоҳи Стелленбош,دانشگاه استلنبوش
Донишгоҳи Стэнфорд,دانشگاه استنفورد
Донишгоҳи Сундерланд,دانشگاه ساندرلند
Донишгоҳи Теҳрон,دانشگاه تهران
Донишгоҳи давлатии тиббии Тоҷикистон,دانشگاه دولتی طبی تاجیکستان
Донишгоҳи Тирана,دانشگاه تیرانا
Донишгоҳи Тишрин,دانشگاه تشرین
Донишгоҳи Токио,دانشگاه توکیو
Донишгоҳи Томас Ҷефферсон,دانشگاه توماس جفرسون
Донишгоҳи Торонто,دانشگاه تورنتو
Донишгоҳи Хоразмӣ,دانشگاه خوارزمی
Донишгоҳи Ҳул,دانشگاه هال
Донишгоҳи Честер,دانشگاه چستر
Донишгоҳи Чичестер,دانشگاه چیچستر
Донишгоҳи Шеффиелд,دانشگاه شفیلد
Донишгоҳи амрикоии Байрут,دانشگاه آمریکایی بیروت
Донишгоҳи давлатии Маскав,دانشگاه دولتی مسکو
Донишгоҳи давлатии Хуҷанд,دانشگاه دولتی خجند
Донишгоҳи давлатии тиҷорати Тоҷикистон,دانشگاه دولتی تجارت تاجیکستان
Донишгоҳи давлатӣ,دانشگاه دولتی
Донишгоҳи ибрии Уршалим,دانشگاه عبری اورشلیم
Донишгоҳи улуми пизишкии Эрон,دانشگاه علوم پزشکی ایران
Донишгоҳи иёлати Айова,دانشگاه ایالتی آیووا
Донишгоҳи иёлати Ню-Йорк дар Буффало,دانشگاه ایالتی نیویورک در بافلو
Донишгоҳи иёлатии Ҷексон,دانشگاه ایالتی جکسون
Донишгоҳи Ҳарвард,دانشگاه هاروارد
Донишгоҳи Ҳартфорд,دانشگاه هارتفورد
Дориaн Бюлюкбaши,دوریان بیلیکباشی
Дориюш Меҳрҷӯӣ,داریوش مهرجویی
Дорнбирн,درن‌بیرن
Дороб,داراب
Дортмунд,دورتموند
Дору,دارو
Лайлӣ ва Маҷнун,لیلی و مجنون
Илмӣ-тахайюлӣ,علمی-تخیلی
Дрeн Фeкa,درن فیکا
Марио Драгӣ,ماریو دراگی
Драмаи таърихӣ,درام تاریخی
Драми Арманистон,درام ارمنستان
Драупадӣ Мурму,دراپادی مورمو
Дрезна,درزنا
Дритaн Бaбaмустa,دریتان باباموستا
Дритaн Бaҳоли,دریتان باهولی
Дробета-Турну-Северин,دروبتا-تورنو سورین
Дуайт Эйзенҳоуэр,دوایت آیزنهاور
Дубай,دبی
Дублин,دوبلین
Дуван Запата,دووان زاپاتا
Дуглас Луиз,دوگلاس لوییز
Дуглас Маия,داگلاس مایا
Дуглас Риналди,داگلاس رینالدی
Дуглас Секейра,داگلاس سکویرا
Дуглас Танке,دوگلاس تانکی
Дугургунт,دگرگونت
Дудмони Паҳлавӣ,دودمان پهلوی
Қоҷориён,قاجاریان
Дуздӣ,دزدی
Дуйсбург,دویسبورگ
Думзой,دم‌زای
Думёт,دمیاط
Дунга,دونگا
Ҷаҳони аввал,جهان اول
Ҷаҳони сеюм,جهان سوم
Дуонг Вăн Мин,دووانگ ون مین
Дуранго,دورانگو
Телефон,تلفن
Дурсунбей,دورسون‌بی
Дурумкӯл,دروم‌کول
Дурӯд,دورود
Дурӯғ,دروغ
Дӯст,دوستی
Дутор,دوتار
Духтар,دختر
Пизишк,پزشک
Душмани пушти дарвозаҳо,دشمن پشت دروازه‌ها
Дуҷинсгароӣ,دوجنس‌گرایی
Дэвид Албелда,داوید آلبلدا
Дэвид Анйон,دیوید آنیون
Дэвид Асеведо,داوید آسودو
Дэвид Барбона,دیوید باربونا
Дэвид Беленгер,دیوید بلنگور
Дэвид Бермудо,دیوید برمودو
Дэвид Бигас,دیوید بیگاس
Дэвид Верду,دیوید وردو
Дэвид Видал,دیوید ویدال
Дэвид Вудард,دیوید وودارد
Дэвид Гаскон,دیوید گاسکون
Дэвид Голдар,دیوید گلدر
Дэвид Де Навас,دیوید د ناواس
Дэвид Де Паула,دیوید دی پائولا
Дэвид Де Хеа,داوید د خیا
Дэвид Депетрис,دیوید دپتریس
Дэвид Дистефано,دیوید دیستفانو
Дэвид Кабаркос,دیوید کابارکوس
Дэвид Каняс,دیوید کاناس
Дэвид Каранка,دیوید کارانکا
Дэвид Кастедо,دیوید کاستدو
Дэвид Керол,دیوید کوئرول
Дэвид Кобенйо,دیوید کوبینو
Дэвид Конча,دیوید کانچا
Дэвид Кордон,دیوید کوردون
Дэвид Костас,دیوید کاستاس
Дэвид Кубило,دیوید کوبیلو
Дэвид Куэлар,دیوید کولار
Дэвид Лазаро,دیوید لازارو
Дэвид Ломбан,دیوید لومبان
Дэвид Мйрие,دیوید میری
Дэвид Морилас,دیوید موریلاس
Дэвид Нерес,داوید نرس
Дэвид Оспина,داوید اوسپینا
Дэвид Парада,دیوید پارادا
Дэвид Поррас,دیوید پورراس
Дэвид Прието,دیوید پریتو
Дэвид Рая,داوید رایا
Дэвид Ривас,دیوید ریواس
Дэвид Рочела,دیوید روچلا
Дэвид Силва,داوید سیلوا
Дэвид Сория,دیوید سوریا
Дэмиан Тимпани,دامیان تیمپانی
Дэмиан Эскудеро,دامیان اسکودرو
Дэннӣ Дензонгпа,دنی دنزونگپا
Дэрмэнешти,دارمانشت
Инч,اینچ
Дюртюли,دیورتیولی
Дӯзах,دوزخ
Евалд Типнер,اوالد تیپنر
Евгений Мравинский,یوگنی مراوینسکی
Европа (52),اروپا ۵۲
Егор Гайдар,یگور گایدار
Едвард Ҳет,ادوارد هیت
Ейск,ییسک
Екатерина Василева,یکاترینا واسیلی‌یوا
Екатеринбург,یکاترینبورگ
Елабуга,یلابوگا
Елазиғ,الازیغ
Элвис Пресли,الویس پرسلی
Елизабет Тайлор,الیزابت تیلور
Елинор Остром,الینور اوستروم
Елко Пино,یلکو پینو
Еманжелинск,یمانژلینسک
Емир Кустуритса,امیر کوستوریتسا
Енисейск,ینی‌سئیسک
Ерай Патинйо,یرای پاتنیو
Ерай Сабариего,یرای ساباریگو
Ерзинҷан,ارزنجان
Эрон,ایران
Жак Ширак,ژاک شیراک
Жан-Бедел Бокасса,ژان-بدل بوکاسا
